month,n_at_risk,n_events,survival_prob
0,487,0,1.0
1,487,26,0.9466
2,439,13,0.9186
3,420,3,0.912
4,412,6,0.8987
5,403,6,0.8854
6,392,1,0.8831
7,386,5,0.8717
8,377,6,0.8578
9,366,1,0.8554
10,362,4,0.846
11,349,3,0.8387
12,341,2,0.8338
13,336,3,0.8264
15,322,4,0.8161
16,315,1,0.8135
17,307,1,0.8108
18,301,2,0.8055
19,294,1,0.8027
20,291,1,0.8
21,284,1,0.7971
22,281,1,0.7943
24,267,3,0.7854
25,258,3,0.7763
27,252,2,0.7701
28,245,2,0.7638
32,225,1,0.7604
34,212,2,0.7532
37,196,1,0.7494
38,193,1,0.7455
43,174,1,0.7412
47,153,1,0.7364
48,148,1,0.7314
49,143,1,0.7263
52,131,1,0.7207
53,121,1,0.7148
54,119,1,0.7088
55,116,2,0.6966
58,106,1,0.69
59,102,1,0.6832
60,99,1,0.6763
61,94,1,0.6691
63,83,1,0.6611
68,58,2,0.6383
69,51,1,0.6258
